state,county,county_id,year,treat,dem_share_pres,dem_share_gov,dem_share_sen,turnout_share,vbm_share,share_votes_dem,cvap,state_year,year_c,year_c2,extension
CA,San Diego,37,2006,0,,0.3157781660556793,,0.4195914566516876,0.409616082906723,0.3640953302383423,,CA_2006,10,100,0
CA,San Diego,37,2008,0,0.5519822835922241,,,0.6511950492858887,0.4600268006324768,0.3695078492164612,,CA_2008,12,144,0
CA,San Diego,37,2010,0,,0.46927410364151,,0.4709450304508209,0.5507290363311768,0.36153945326805115,1967030.0,CA_2010,14,196,0
CA,San Diego,37,2012,0,0.5387696027755737,,,0.5917328000068665,0.5609794855117798,0.3707895874977112,2033460.0,CA_2012,16,256,0
CA,San Diego,37,2014,0,,0.51067054271698,,0.3293055295944214,0.6495867967605591,0.3644888401031494,2102710.0,CA_2014,18,324,0
CA,San Diego,37,2016,0,0.6062071919441223,,,0.6192657947540283,0.6364119648933411,0.3803255259990692,2174370.0,CA_2016,20,400,0
CA,San Diego,37,2018,0,,0.5685797929763794,,0.524703323841095,0.6851116418838501,0.38790974020957947,2237310.0,CA_2018,22,484,0
CA,San Diego,37,2020,0,0.6164906208299888,,,0.6949128496588826,,,2304925.0,CA_2020,24,576,1
CA,San Diego,37,2022,1,,0.5579754117969694,,,,,2304925.0,CA_2022,26,676,1
CA,San Diego,37,2024,1,0.5864682617684411,,,0.641142770372138,,,2304925.0,CA_2024,28,784,1
CA,San Francisco,38,1998,0,,0.8407407402992249,,0.45854610204696655,0.26675280928611755,0.6581776142120361,553675.0,CA_1998,2,4,0
CA,San Francisco,38,2000,0,0.8242900967597961,,,,,0.6351695656776428,,CA_2000,4,16,0
CA,San Francisco,38,2002,0,,0.8116223216056824,,0.40155157446861267,0.2907881736755371,0.6392767429351807,,CA_2002,6,36,0
CA,San Francisco,38,2004,0,0.8451984524726868,,,0.6375873684883118,0.3744050860404968,0.6170902252197266,,CA_2004,8,64,0
CA,San Francisco,38,2006,0,,0.6783023476600647,,0.4417177438735962,0.42703935503959656,0.6318725347518921,,CA_2006,10,100,0
CA,San Francisco,38,2008,0,0.8603729605674744,,,0.6676653027534485,0.4601377844810486,0.6131473183631897,,CA_2008,12,144,0
CA,San Francisco,38,2010,0,,0.8169293403625488,,0.4897153377532959,0.5034905672073364,0.6210201978683472,581205.0,CA_2010,14,196,0
CA,San Francisco,38,2012,0,0.8650340437889099,,,0.6148939728736877,0.5294854640960693,0.614100456237793,593395.0,CA_2012,16,256,0
CA,San Francisco,38,2014,0,,0.8815253376960754,,0.37977397441864014,0.5891468524932861,0.6209201216697693,608820.0,CA_2014,18,324,0
CA,San Francisco,38,2016,0,0.9015393257141113,,,0.6608551740646362,0.6346760392189026,0.6054971814155579,627260.0,CA_2016,20,400,0
CA,San Francisco,38,2018,0,,0.8639010190963745,,0.5766775608062744,0.657002329826355,0.6115260124206543,646545.0,CA_2018,22,484,0
CA,San Francisco,38,2020,0,0.8701783129646803,,,0.6998469186459402,,,633650.0,CA_2020,24,576,1
CA,San Francisco,38,2022,0,,0.8538342632336648,,,,,633650.0,CA_2022,26,676,1
CA,San Francisco,38,2024,0,0.8379707646390362,,,0.6359409768799811,,,633650.0,CA_2024,28,784,1
CA,San Joaquin,39,1998,0,,0.5328163504600525,,0.4066171646118164,0.2343294471502304,0.4168685972690582,331050.0,CA_1998,2,4,0
CA,San Joaquin,39,2000,0,0.4938192069530487,,,,,0.42354491353034973,,CA_2000,4,16,0
CA,San Joaquin,39,2002,0,,0.4799439311027527,,0.3709102272987366,0.2890598475933075,0.41120344400405884,,CA_2002,6,36,0
CA,San Joaquin,39,2004,0,0.46285441517829895,,,0.5420955419540405,0.3354837894439697,0.4168465733528137,,CA_2004,8,64,0
CA,San Joaquin,39,2006,0,,0.37264981865882874,,0.3867051899433136,0.41660115122795105,0.4180268943309784,,CA_2006,10,100,0
CA,San Joaquin,39,2008,0,0.5543994903564453,,,0.5638640522956848,0.47954893112182617,0.4334520697593689,,CA_2008,12,144,0
CA,San Joaquin,39,2010,0,,0.5187940001487732,,0.4123884439468384,0.5976757407188416,0.4199448227882385,391655.0,CA_2010,14,196,0
CA,San Joaquin,39,2012,0,0.57005774974823,,,0.5092021226882935,0.6426903605461121,0.43923500180244446,406210.0,CA_2012,16,256,0
CA,San Joaquin,39,2014,0,,0.5354140996932983,,0.28304871916770935,0.730347752571106,0.40979087352752686,421030.0,CA_2014,18,324,0
CA,San Joaquin,39,2016,0,0.5766162276268005,,,0.5318962931632996,0.6629727482795715,0.43499019742012024,433295.0,CA_2016,20,400,0
CA,San Joaquin,39,2018,0,,0.5218782424926758,,0.4379642605781555,0.7112517952919006,0.4294188916683197,448975.0,CA_2018,22,484,0
CA,San Joaquin,39,2020,0,0.5709320247311638,,,0.5921212805485132,,,487135.0,CA_2020,24,576,1
CA,San Joaquin,39,2022,0,,0.4821542365712674,,,,,487135.0,CA_2022,26,676,1
CA,San Joaquin,39,2024,0,0.4954057024835415,,,0.5412688474447535,,,487135.0,CA_2024,28,784,1
CA,San Luis Obispo,40,1998,0,,0.5131474137306213,,0.4928544759750366,0.42888617515563965,0.3632816970348358,182390.0,CA_1998,2,4,0
CA,San Luis Obispo,40,2000,0,0.43917739391326904,,,,,0.3555084764957428,,CA_2000,4,16,0
