outcome,specification,period,coef,se,n
Turnout,Basic,Original (1996-2018),0.021206610783934765,0.009369877105145724,1240
Turnout,Basic,Extended (1996-2024),0.026065028418922574,0.006142224126698722,1492
Turnout,Linear,Original (1996-2018),0.021501319115628817,0.00692813930709108,1240
Turnout,Linear,Extended (1996-2024),0.020216746913337965,0.005313699512532476,1492
Turnout,Quadratic,Original (1996-2018),0.0209665278798722,0.00815987097853327,1240
Turnout,Quadratic,Extended (1996-2024),0.020777099232645837,0.00644475949722091,1492
