outcome,cohort,coef,se
Dem Vote Share (Pres),2018,0.03162807263232529,0.011280929463073715
Dem Vote Share (Pres),2020,-0.0071844567930938585,0.010991043405562251
Dem Vote Share (Pres),2022,0.005963259276983704,0.01058085095098256
Dem Vote Share (Pres),2024,-0.01402285917891995,0.04458346154221041
Turnout,2018,0.025076365627311366,0.008141051506846695
Turnout,2020,0.02756616553444859,0.010765040396727273
Turnout,2022,0.02932692365390568,0.010354603041234613
Turnout,2024,0.041059754752595594,0.023446930184508278
