Period,State,N_obs,N_treated,Pct_treated,Dem_vote_share_mean,Dem_vote_share_sd,Turnout_mean,Turnout_sd
Original (1996-2018),CA,638,5,0.7836990595611285,0.512078612169315,0.14468135744407035,0.5150014843149432,0.11858087354870306
Original (1996-2018),UT,348,59,16.95402298850575,0.24644663874274012,0.1266053289930243,0.551490952357136,0.12946115447560022
Original (1996-2018),WA,468,275,58.76068376068376,0.4633497509818811,0.10977217885481112,0.5800110052029291,0.10216639663320208
Original (1996-2018),All,1454,339,23.31499312242091,0.4295248630373901,0.16814611964141113,0.5415993112469873,0.12089346714649687
Extension (2020-2024),CA,174,72,41.37931034482759,0.5327873650371715,0.15298547212084831,0.636910252232452,0.08338159050837853
Extension (2020-2024),UT,87,87,100.0,0.25077402179022384,0.1425301920878874,0.7268452952853679,0.12203905748325669
Extension (2020-2024),WA,117,117,100.0,0.4611880092560659,0.1336747159441791,0.7305024859466837,0.07478231798941118
Extension (2020-2024),All,378,276,73.01587301587301,0.4457178267068176,0.1821477968028561,0.6865786122593536,0.10196818537082153
