outcome,column,specification,coef,se,n_obs,n_counties,original_coef,original_se,difference
Turnout Share,1,Basic,0.021206610439670637,0.009369877557437766,1240,126,0.021,0.009,0.00020661043967063614
Turnout Share,2,Linear Trends,0.021501318187116054,0.006928139514635088,1240,126,0.022,0.007,-0.000498681812883945
Turnout Share,3,Quadratic Trends,0.020966525587813038,0.008159870798617797,1240,126,0.021,0.008,-3.347441218696373e-05
VBM Share,4,Basic,0.18603814039340313,0.02665372527623177,580,58,0.186,0.027,3.8140393403135464e-05
VBM Share,5,Linear Trends,0.15745336201175666,0.03498272037186854,580,58,0.157,0.035,0.0004533620117566639
VBM Share,6,Quadratic Trends,0.13589588097971253,0.08535019070083485,580,58,0.136,0.085,-0.00010411902028747977
