outcome,column,specification,coef,se,n_obs,n_counties,original_coef,original_se,difference
Dem Turnout Share,1,Basic,0.007236402277974054,0.0031432149665556503,986,87,0.007,0.003,0.00023640227797405364
Dem Turnout Share,2,Linear Trends,0.0011508271618352953,0.0014933750164956771,986,87,0.001,0.001,0.00015082716183529524
Dem Turnout Share,3,Quadratic Trends,0.0009376861695673578,0.0012704634847269746,986,87,0.001,0.001,-6.231383043264218e-05
Dem Vote Share,4,Basic,0.0284653511319984,0.01134475558576872,1998,126,0.028,0.011,0.00046535113199840106
Dem Vote Share,5,Linear Trends,0.010860313490371424,0.0039152362391715835,1998,126,0.011,0.004,-0.00013968650962857543
Dem Vote Share,6,Quadratic Trends,0.006523140938956881,0.0034575808134908155,1998,126,0.007,0.003,-0.00047685906104311896
